epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4844,1.57989,4.16062,1.66461,0.00637,0.24702,0.02639,0.01057,1.82909,5.10047,1.88343,9.228e-05,9.228e-05,9.228e-05
2,90.9833,1.33932,3.74906,1.49623,0.00748,0.34226,0.1149,0.05982,1.49043,4.74324,1.53553,0.000188443,0.000188443,0.000188443
3,134.217,1.32386,3.31238,1.4329,0.01123,0.36012,0.07144,0.04377,1.45788,4.4451,1.48435,0.000280648,0.000280648,0.000280648
4,176.604,1.38531,2.9479,1.4888,0.84528,0.13852,0.13036,0.06316,1.63565,4.19808,1.66229,0.000368894,0.000368894,0.000368894
5,219.443,1.31926,2.76032,1.44235,0.74576,0.09375,0.12886,0.06693,1.55186,3.914,1.52293,0.000453181,0.000453181,0.000453181
6,262.503,1.30839,2.42649,1.41857,0.75593,0.10119,0.22897,0.10662,1.68277,3.91867,1.587,0.000533509,0.000533509,0.000533509
7,305.438,1.32885,2.52393,1.47638,0.53632,0.09147,0.13696,0.06304,1.73478,4.03198,1.68665,0.000609879,0.000609879,0.000609879
8,347.908,1.27269,2.29803,1.42527,0.34503,0.22396,0.12787,0.05554,1.71303,4.063,1.73494,0.000662417,0.000662417,0.000662417
9,390.392,1.35371,2.20493,1.41083,0.48368,0.37723,0.21301,0.08612,1.67662,3.87054,1.67754,0.00064719,0.00064719,0.00064719
10,433.189,1.33136,2.12781,1.40453,0.67324,0.25372,0.30291,0.13457,1.70509,3.87373,1.65523,0.000631964,0.000631964,0.000631964
11,476.324,1.2266,2.00341,1.3311,0.5354,0.3818,0.23291,0.1071,1.77271,3.63066,1.84765,0.000616738,0.000616738,0.000616738
12,519.623,1.31395,2.06615,1.38467,0.55678,0.28507,0.33795,0.16487,1.73562,3.18329,1.69488,0.000601512,0.000601512,0.000601512
13,562.027,1.21038,1.86755,1.31958,0.40448,0.50534,0.37192,0.17311,1.64087,3.37563,1.55818,0.000586286,0.000586286,0.000586286
14,605.025,1.23421,1.87248,1.3088,0.54154,0.45224,0.347,0.13136,1.78903,3.47619,1.69108,0.000571059,0.000571059,0.000571059
15,646.419,1.21459,1.76956,1.2924,0.31484,0.45249,0.37188,0.17115,1.76402,3.27309,1.73229,0.000555833,0.000555833,0.000555833
16,688.075,1.22725,1.81197,1.31328,0.37047,0.50046,0.33366,0.12468,1.70928,3.43754,1.81706,0.000540607,0.000540607,0.000540607
17,729.57,1.22683,1.78125,1.31039,0.42708,0.32249,0.34836,0.15662,1.54166,3.18466,1.67058,0.000525381,0.000525381,0.000525381
18,770.836,1.19894,1.70863,1.29152,0.24085,0.53064,0.40883,0.22787,1.5711,3.04654,1.62618,0.000510155,0.000510155,0.000510155
19,812.404,1.10104,1.60694,1.25139,0.37156,0.5811,0.5409,0.22051,1.69943,2.80097,1.75136,0.000494928,0.000494928,0.000494928
20,853.892,1.16976,1.56921,1.2645,0.40225,0.6093,0.52767,0.26482,1.64713,2.59176,1.76804,0.000479702,0.000479702,0.000479702
21,895.937,1.14213,1.5629,1.23125,0.42906,0.70388,0.57865,0.27994,1.57939,2.54684,1.58416,0.000464476,0.000464476,0.000464476
